record_id,adj_method_bin,intervention,intervention_recoded,atc_code,atc_name,pathology,pathology_recoded,pathology_onco_bin,icd11,chap,chap_title
1,Balancing-based methods,andexanet alpha,Coagulation reversal agent,V03,All other therapeutic products,intracranial hemorrhage,Cardiovascular,0,8B0Z,8,Diseases of the nervous system
2,Balancing-based methods,teclistamab,Immunotherapy,L01,Antineoplastic agents,multiple myeloma,Hematology,1,2A83,2,Neoplasms
3,Non-balancing methods,imlifidase,Enzyme therapy,L04,Immunosuppressants,anti glomerular basement membrane disease; kidney failure,Kidney Disease,0,MF85,21,"Symptoms, signs or clinical findings, not elsewhere classified"
3,Non-balancing methods,imlifidase,Enzyme therapy,L04,Immunosuppressants,anti glomerular basement membrane disease; kidney failure,Kidney Disease,0,GB6Z,16,Diseases of the genitourinary system
4,Balancing-based methods,lisocabtagene maraleucel,Cell therapy,L01,Antineoplastic agents,relapse refractory diffuse large b cell lymphoma,Hematology,1,2A81,2,Neoplasms
5,Balancing-based methods,mosunetuzumab,Immunotherapy,L01,Antineoplastic agents,relapsed refractory follicular lymphoma,Hematology,1,2A80,2,Neoplasms
6,Balancing-based methods,amivantamab,Targeted therapy,L01,Antineoplastic agents,advanced non small cell lung cancer egfr exon 20 insertion mutation,Pneumology,1,2C25,2,Neoplasms
8,Balancing-based methods,selpercatinib,Targeted therapy,L01,Antineoplastic agents,ret fusion advanced metastatic non small cell lung cancer,Pneumology,1,2C25,2,Neoplasms
9,Non-balancing methods,local phage combination therapy,Phage therapy,N/A,N/A,periprosthetic hip joint infection,Infectious Disease,0,NE83,22,"Injury, poisoning or certain other consequences of external causes"
10,Balancing-based methods,atezolizumab; bevacizumab,Immunotherapy,L01,Antineoplastic agents,appendiceal adenocarcinoma,Gastroenterology,1,2B93,2,Neoplasms
10,Balancing-based methods,atezolizumab; bevacizumab,Immunotherapy,L01,Antineoplastic agents,appendiceal adenocarcinoma,Gastroenterology,1,2B93,2,Neoplasms
11,Balancing-based methods,amivantamab,Targeted therapy,L01,Antineoplastic agents,advanced non small cell lung cancer egfr exon 20 insertion ,Pneumology,1,2C25,2,Neoplasms
12,Non-balancing methods,anti thymocyte globulin ,Immunosuppressive therapy,L04,Immunosuppressants,hematological malignancies,Hematology,1,N/A,NA,N/A
13,Non-balancing methods,dexamethasone; ondansetron; diphenhydramine,Supportive care,H02,Corticosteroids for systemic use,neoplasm,Oncology,1,N/A,NA,N/A
13,Non-balancing methods,dexamethasone; ondansetron; diphenhydramine,Supportive care,A04,Antiemetics and antinauseants,neoplasm,Oncology,1,N/A,NA,N/A
13,Non-balancing methods,dexamethasone; ondansetron; diphenhydramine,Supportive care,R06,Antihistamines for systemic use,neoplasm,Oncology,1,N/A,NA,N/A
